u_applications_impacted,dv_u_business_segments,dv_u_alert_generated_from_monitoring,u_root_cause_owner,dv_priority,dv_category,dv_contact_type,dv_short_description,dv_company,dv_close_code,dv_u_incident_cause_code,u_root_cause_breakdown,u_summary_impact_root_summary,u_alert_to_who,clean_date,year,application_category
Zelle,BSG,Other,Vendor,Priority 3,Application,Email,Zelle / Application was unavailable due to an issue at EWS. ,FIS,Solved by Client/Vendor,Undetermined,vendor bug,Clients were unable to access Zelle application due to an issue at the third party vendor - Early Warning Systems (EWS).,Application team via Splunk tool,2023-01-12 08:37:58,2023,Payments
Modern Banking Platform,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,Modern Banking Platform / Some clients experienced latency issues.,FIS,Solved (Permanently),Data issue,configuration,"Modern Banking Platform experienced latency issues due to parameter change made by AMEX, which caused the application to perform in a degraded state.",Unknown,2023-01-20 05:01:21,2023,Other
"BSG - Zelle, Bill Pay, BeB, Integrated Payable, Prepaid South, CaseVue, Horizon, Falcon - (missing in sending case detailed reports to internal FIS), Bankway
CM - Transfer Agency, GMI, IntelliMatch, InvestOne,  Protegent, Phase3, Fron Arena, WRA - Global Plus, SRW App, Investran, InTrader Portal, Ubix","BSG, CM",Other,FIS,Priority 2,Application,3rd party integration,Email not delivered,FIS,Solved (Permanently),Human error,unknown,Email delivery was unavailable for some BSG and CM applications due to an email routing issue with vendor ProofPoint's IP database.,"Application support teams, Email team.",2023-02-08 18:30:30,2023,Digital
FIS Card Personalization,BSG,No Known Alert,FIS,Priority 5,Network,Self-service,Card Production Bastions Down - STX & STP Locations,FIS,Solved (Permanently),Connectivity issue,change deployment,FIS Card Pro Support in Romeoville was unable to access some bastion servers due to firewall rules missing,Unknown,2023-02-10 15:01:35,2023,Other
Unspecified Applications,BSG,No Known Alert,Client,Priority 4,Mainframe,Self-service,BSG/Early Warning EWFT / Unable to process files since moving to DR,FIS,Solved (Permanently),Access issue,external,"Early Warning made configuration changes to the 199.47.139.220 VPN connection, no FIS changes required.",Unknown,2023-02-20 19:15:51,2023,Unknown
ImageCentre,BSG,No Known Alert,FIS,Priority 4,Database,Self-service,ImageCentre LR8 / Intermittent Connectivity Issues,FIS,Solved (Permanently),Configuration issue,configuration,Intermittent access issue affecting ImageCentre due to an extraneous local listener port configured for the database in LR8.,Unknown,2023-02-20 00:41:09,2023,Image/Doc
Unspecified Applications,BSG,Other,FIS,Priority 4,Application,Self-service,Deposit ACH Memopost jobs for IMSD / Twin H & R are not complete,FIS,Solved (Permanently),Data issue,disk space,Teams continued to work on checking the older files which can be deleted to free up a size. The ticket was promoted to major as EIM was engaged for more than 15 minutes on the call. ,DBA Team received the alerts.,2023-02-21 14:42:44,2023,Unknown
"Horizon XE, ImageCentre",BSG,Other,FIS,Priority 3,Application,Alert,Elevated Response Times for HZNEP2 and HZNCP3 banks (HORIZON core),FIS,Solved (Permanently),Undetermined,unknown,Horizon Core experienced elevated response times impacting a subset of clients. Root cause is under investigation.,Horizon team did receive alerts before clients began to report slowness.,2023-02-21 20:12:08,2023,Core Banking
Mobile for CeB CCB clients ,BSG,Other,FIS,Priority 3,Application,Alert,Mobile for CeB clients experienced intermittent errors.,FIS,Solved (Permanently),Human error,human error,Mobile for CeB clients experienced intermittent errors. The root cause is under investigation.,Support teams,2023-02-24 05:42:39,2023,Digital
Payments One,BSG,No Known Alert,FIS,Priority 4,General Technical,Self-service,Payments One / Transactions for Mercury Client Irving CU Posted to Another CU,FIS,Solved (Permanently),Configuration issue,configuration,Irving CU transactions were incorrectly routed to Aegis CU due to Aegis configured to the wrong port.,Unknown,2023-02-25 00:07:30,2023,Other
